EPBC_Status,FFG_Status,DSE_Advisory,Origin,Scientific,Common_Name,Count_of_Sightings,Taxon_Id
VU,,,,Halobaena caerulea,Blue Petrel,1,10081
,,,,Hieraaetus morphnoides,Little Eagle,193,10225
,,,,Himantopus himantopus,Black-winged Stilt,1,528555
,,,,Hirundapus caudacutus,White-throated Needletail,79,10334
,,,,Hydromys chrysogaster,Water Rat,1,11415
,,,,Hydrurga leptonyx,Leopard Seal,3,11549
,,,,Hyperlophus vittatus,Sandy Sprat,3,4659
,,,,Kogia breviceps,Pygmy Sperm Whale,2,11581
,,,,Lalage sueurii,White-winged Triller,1,10430
,,,,Lampropholis guichenoti,Garden Skink,1,12451
,,,,Larus crassirostris,Black-tailed Gull,1,10856
,,,,Larus dominicanus,Kelp Gull,1,10981
,,,,Lerista bougainvillii,Bougainville's Skink,1,12475
,,,,Lichenostomus chrysops,Yellow-faced Honeyeater,1,10614
,,,,Lichenostomus fuscus,Fuscous Honeyeater,1,10613
,,,,Lichenostomus leucotis,White-eared Honeyeater,1,10617
,,,,Lichenostomus melanops,Yellow-tufted Honeyeater,1,10619
,,,,Lichenostomus ornatus,Yellow-plumed Honeyeater,1,10622
,,,,Lichenostomus penicillatus,White-plumed Honeyeater,1,10625
,,,,Lichenostomus virescens,Singing Honeyeater,1,10608
,,,,Limicola falcinellus,Broad-billed Sandpiper,1,10167
,,,,Limnodynastes dumerilii,Southern Bullfrog (ssp. unknown),58,13058
,,,,Limnodynastes dumerilii dumerilii,Pobblebonk Frog,1,63913
,,,,Limnodynastes dumerilii insularis,Pobblebonk Frog,1,63914
,,,,Limnodynastes peronii,Striped Marsh Frog,10,13061
,,,,Limnodynastes tasmaniensis,Spotted Marsh Frog (race unknown),1,13063
,,,,Limnodynastes tasmaniensis NCR,Spotted Marsh Frog NCR,1,63917
,,,,Limnodynastes tasmaniensis SCR,Spotted Marsh Frog SCR,1,63918
,,,,Limosa lapponica,Bar-tailed Godwit,1,10153
,,,,Limosa limosa,Black-tailed Godwit,1,528553
,,,,Liopholis whitii GROUP,White's Skink,1,62430
,,,,Litoria ewingii,Southern Brown Tree Frog,1,13182
,,,,Litoria ewingii SOUTHERN,Southern Brown Tree Frog SOUTHERN,1,63903
,,,,Litoria verreauxii (ssp. unknown),Unknown Tree Frog,1,13215
,,,,Litoria verreauxii verreauxii,Verreaux's Tree Frog,1,63906
,,,,Lugensa brevirostris,Kerguelen Petrel,1,10935
,,,,Macquaria colonorum,Estuary Perch,15,4875
,,,,Macronectes sp.,Giant-Petrel species,1,10079
,,,,Macropus giganteus,Eastern Grey Kangaroo,1,11265
,,,,Malacorhynchus membranaceus,Pink-eared Duck,188,10213
,,,,Malurus cyaneus,Superb Fairy-wren,1,10529
,,,,Manorina melanocephala,Noisy Miner,1,10634
,,,,Manorina melanophrys,Bell Miner,1,10633
,,,,Megalurus gramineus,Little Grassbird,1,10522
,,,,Melithreptus brevirostris,Brown-headed Honeyeater,1,10583
,,,,Melithreptus lunatus,White-naped Honeyeater,1,10578
,,,,Melopsittacus undulatus,Budgerigar,7,10310
,,,,Merops ornatus,Rainbow Bee-eater,151,10329
,,,,Microcarbo melanoleucos,Little Pied Cormorant,1,10100
,,,,Microeca fascinans,Jacky Winter,1,10377
,,,,Milvus migrans,Black Kite,23,10229
,,,,Mirafra javanica,Horsfield's Bushlark,1,10648
,,,,Misc No Taxa found,No Taxa found,1,68998
,,,,Monarcha melanopsis,Black-faced Monarch,1,10373
,,,,Mormopterus sp. 2,Eastern Freetail Bat,1,11839
,,,,Morus serrator,Australasian Gannet,1,10104
,,,,Mugil cephalus,Sea Mullet,8,4964
,,,,Myiagra cyanoleuca,Satin Flycatcher,1,10366
,,,,Myiagra inquieta,Restless Flycatcher,1,10369
,,,,Myiagra rubecula,Leaden Flycatcher,1,10365
,,,,Myzomela sanguinolenta,Scarlet Honeyeater,1,10586
,,,,Nannoperca australis,Southern Pygmy Perch,5,4884
,,,,Nannoscincus maccoyi,McCoy's Skink,1,12444
,,,,Neobatrachus sudelli,Common Spadefoot Toad,42,13086
,,,,Neochmia temporalis,Red-browed Finch,1,10662
,,,,Neophema chrysostoma,Blue-winged Parrot,122,10306
,,,,Ninox novaeseelandiae,Southern Boobook,95,10242
,,,,Niveoscincus metallicus,Metallic Skink,4,12462
,,,,Notechis scutatus,Tiger Snake,45,12681
,,,,Numenius minutus,Little Curlew,1,10151
,,,,Nyctophilus geoffroyi,Lesser Long-eared Bat,1,11335
,,,,Nymphicus hollandicus,Cockatiel,1,10274
,,,,Oceanites oceanicus,Wilson's Storm-Petrel,1,10063
,,,,Ocyphaps lophotes,Crested Pigeon,1,10043
,,,,Orcinus orca,Killer Whale,1,11600
,,,,Oriolus sagittatus,Olive-backed Oriole,1,10671
,,,,Ornithorhynchus anatinus,Platypus,1,5136
,,,,Pachycephala inornata,Gilbert's Whistler,1,10403
,,,,Pachycephala olivacea,Olive Whistler,1,10405
,,,,Pachycephala pectoralis,Golden Whistler,1,10398
,,,,Pachycephala rufiventris,Rufous Whistler,1,10401
,,,,Pachyptila belcheri,Slender-billed Prion,1,10942
,,,,Pachyptila desolata,Antarctic Prion,1,10084
,,,,Pachyptila salvini,Salvin's Prion,1,10941
,,,,Pandion cristatus,Osprey,2,10241
,,,,Parasuta flagellum,Little Whip Snake,1,12727
,,,,Paratya australiensis,Freshwater Shrimp,43,1557
,,,,Pardalotus punctatus,Spotted Pardalote,1,10565
,,,,Pardalotus striatus,Striated Pardalote,1,10976
,,,,Pelecanus conspicillatus,Australian Pelican,1,10106
,,,,Petaurus breviceps,Sugar Glider,22,11138
,,,,Petrochelidon ariel,Fairy Martin,1,10360
,,,,Petrochelidon neoxena,Welcome Swallow,1503,10357
,,,,Petrochelidon nigricans,Tree Martin,1,10359
,,,,Petroica boodang,Scarlet Robin,1,10380
,,,,Petroica goodenovii,Red-capped Robin,1,10381
,,,,Petroica phoenicea,Flame Robin,1,10382
,,,,Petroica rodinogaster,Pink Robin,1,10383
,,,,Petroica rosea,Rose Robin,1,10384
,,,,Phalacrocorax carbo,Great Cormorant,1,10096
,,,,Phalacrocorax sulcirostris,Little Black Cormorant,1,10097
,,,,Phalaropus lobatus,Red-necked Phalarope,1,10932
,,,,Phaps chalcoptera,Common Bronzewing,1,10034
,,,,Phaps elegans,Brush Bronzewing,1,10035
,,,,Phascolarctos cinereus,Koala,173,11162
,,,,Philemon corniculatus,Noisy Friarbird,1,10645
,,,,Philomachus pugnax,Ruff,1,10934
,,,,Philypnodon grandiceps,Flat-headed Gudgeon,31,5060
,,,,Phylidonyris albifrons,White-fronted Honeyeater,1,10594
,,,,Phylidonyris melanops,Tawny-crowned Honeyeater,1,10593
,,,,Phylidonyris novaehollandiae,New Holland Honeyeater,1,10631
,,,,Phylidonyris pyrrhoptera,Crescent Honeyeater,1,10630
,,,,Platalea flavipes,Yellow-billed Spoonbill,1,10182
,,,,Platelea sp.,Unidentified Spoonbill,1,9906
,,,,Platycercus elegans,Crimson Rosella,459,10282
,,,,Platycercus eximius,Eastern Rosella,1,10288
,,,,Platycercus sp.,Rosella species,1,10838
,,,,Podargus strigoides,Tawny Frogmouth,1,10313
,,,,Podiceps cristatus,Great Crested Grebe,1,10060
,,,,Poliocephalus poliocephalus,Hoary-headed Grebe,1,10062
,,,,Pomatomus saltatrix,Tailor,8,4899
,,,,Pomatostomus superciliosus,White-browed Babbler,1,10445
,,,,Porphyrio porphyrio,Purple Swamphen,1,10058
,,,,Porzana fluminea,Australian Spotted Crake,1,10049
,,,,Porzana tabuensis,Spotless Crake,1,10051
,,,,Psephotus haematonotus,Red-rumped Parrot,1,10295
,,,,Psephotus varius,Mulga Parrot,1,10296
,,,,Pseudaphritis urvillii,Tupong,27,4985
,,,,Pseudechis porphyriacus,Red-bellied Black Snake,1,12693
,,,,Pseudemoia entrecasteauxii,Southern Grass Skink,1,12994
,,,,Pseudemoia form cryodoma/pagenstecheri,Grass skink FORM (P.pag/cry),1,12948
,,,,Pseudemoia pagenstecheri,Tussock Skink,1,12993
,,,,Pseudocaranx georgianus,Silver Trevally,11,4902
,,,,Pseudocheirus peregrinus,Common Ringtail Possum,44,11129
,,,,Pseudogobius olorum,Southern Blue-spotted Goby,1,5039
,,,,Pseudonaja textilis,Eastern Brown Snake,1,12699
,,,,Pterodroma lessonii,White-headed Petrel,1,10077
,,,,Pterodroma macroptera,Great-winged Petrel,1,10075
,,,,Pterodroma nigripennis,Black-winged Petrel,1,10955
,,,,Puffinus carneipes,Flesh-footed Shearwater,1,10072
,,,,Puffinus gavia,Fluttering Shearwater,1,10068
,,,,Puffinus grisea,Sooty Shearwater,1,10070
