"Object ID","Object Type","Longitude","Latitude","Distance (Parsecs)","Name","Map Sector","Diameter (Parsecs)","Distance source (ADS)"
"6729","st","119.6","0.3","2880","LSI  +62    90","4_p48.0xp22.0","0","5044B_lumstrs2.dat"
"6733","st","119.8","-0.3","1100","LSI  +62    96","4_p37.5xp28.0","0","5044B_lumstrs2.dat"
"6736","st","120","-0.4","2880","LSI  +62   102","4_p47.5xp22.0","0","5044B_lumstrs2.dat"
"12912","st","120.3","-0.3","1940","LSI  +62   107","4_p42.0xp25.0","0","5044B_lumstrs3.dat"
"12916","st","120.5","-0.1","5920","LSI  +62   112","4_p64.0xp12.5","0","5044B_lumstrs3.dat"
"6769","st","122.2","1.1","2510","LSI  +63    97","4_p45.0xp23.0","0","5044B_lumstrs2.dat"
"12893","st","117.9","2.3","5680","LSI  +64    14","4_p63.5xp14.5","0","5044B_lumstrs3.dat"
"12896","st","118.3","2.3","2750","LSI  +64    16","4_p47.0xp23.0","0","5044B_lumstrs3.dat"
"12914","st","120.4","1.9","1850","LSI  +64    26","4_p41.5xp25.5","0","5044B_lumstrs3.dat"
"6764","st","122.2","1.6","2510","LSI  +64    35","4_p45.0xp23.0","0","5044B_lumstrs2.dat"
"12863","st","116.6","3.8","1450","LSI  +65     1","4_p40.0xp27.5","0","5044B_lumstrs3.dat"
"12895","st","118","4.8","760","LSI  +66     3A","4_p36.0xp29.0","0","5044B_lumstrs3.dat"
"12894","st","118","4.8","780","LSI  +66     3B","4_p36.0xp29.0","0","5044B_lumstrs3.dat"
"6718","st","118.2","5","830","LSI  +67     9","4_p36.0xp29.0","0","5044B_lumstrs2.dat"
"6720","st","118.3","5.3","830","LSI  +67    11","4_p36.0xp29.0","0","5044B_lumstrs2.dat"
"12444","st","58.3","-2.5","5680","LSII +21    13","4_p62.5xp50.5","0","5044B_lumstrs3.dat"
"6236","st","61.4","0.1","2000","LSII +25     9","4_p43.0xp37.5","0","5044B_lumstrs2.dat"
"12471","st","63.1","0.4","4550","LSII +26     6","4_p57.5xp44.5","0","5044B_lumstrs3.dat"
"12484","st","64.5","0.5","3420","LSII +27    22","4_p51.5xp41.0","0","5044B_lumstrs3.dat"
"12500","st","65.9","-0.1","4450","LSII +28    19","4_p57.5xp43.0","0","5044B_lumstrs3.dat"
"6399","st","78.5","1.3","1740","LSII +40    32","4_p42.5xp33.5","0","5044B_lumstrs2.dat"
"6406","st","79","3.7","2290","LSIII+41    11","4_p46.0xp34.5","0","5044B_lumstrs2.dat"
